city,date,Inmigration_rate,Outmigration_rate
成都,2020/1/1,0.9533,0.9524
成都,2020/1/2,0.9329,0.9328
成都,2020/1/3,0.9459,0.9473
成都,2020/1/4,0.9393,0.9426
成都,2020/1/5,0.9500,0.9443
成都,2020/1/6,0.9397,0.9356
成都,2020/1/7,0.9370,0.9295
成都,2020/1/8,0.9363,0.9257
成都,2020/1/9,0.9358,0.9235
成都,2020/1/10,0.9445,0.9359
成都,2020/1/11,0.9508,0.9480
成都,2020/1/12,0.9480,0.9376
成都,2020/1/13,0.9462,0.9336
成都,2020/1/14,0.9401,0.9298
成都,2020/1/15,0.9386,0.9325
成都,2020/1/16,0.9398,0.9287
成都,2020/1/17,0.9426,0.9244
成都,2020/1/18,0.9425,0.9344
成都,2020/1/19,0.9407,0.9283
成都,2020/1/20,0.9401,0.9337
成都,2020/1/21,0.9398,0.9393
成都,2020/1/22,0.9436,0.9461
成都,2020/1/23,0.9463,0.9520
成都,2020/1/24,0.9425,0.9532
成都,2020/1/25,0.9521,0.9554
成都,2020/1/26,0.9695,0.9560
成都,2020/1/27,0.9626,0.9472
成都,2020/1/28,0.9548,0.9460
成都,2020/1/29,0.9508,0.9484
成都,2020/1/30,0.9509,0.9502
成都,2020/1/31,0.9456,0.9471
成都,2020/02/01,0.9504,0.9540
成都,2020/02/02,0.9521,0.9587
成都,2020/02/03,0.9493,0.9596
成都,2020/02/04,0.9495,0.9688
成都,2020/02/05,0.9549,0.9680
成都,2020/02/06,0.9540,0.9673
成都,2020/02/07,0.9516,0.9651
成都,2020/02/08,0.9513,0.9661
成都,2020/02/09,0.9520,0.9632
成都,2020/02/10,0.9336,0.9603
成都,2020/02/11,0.9357,0.9570
成都,2020/02/12,0.9403,0.9585
成都,2020/02/13,0.9401,0.9554
成都,2020/02/14,0.9429,0.9602
成都,2020/02/15,0.9475,0.9569
成都,2020/02/16,0.9491,0.9500
成都,2020/02/17,0.9530,0.9596
成都,2020/02/18,0.9503,0.9583
成都,2020/02/19,0.9468,0.9556
成都,2020/02/20,0.9491,0.9541
成都,2020/02/21,0.9526,0.9565
成都,2020/02/22,0.9529,0.9600
成都,2020/02/23,0.9528,0.9563
成都,2020/02/24,0.9581,0.9634
成都,2020/02/25,0.9573,0.9615
阿坝,2020/1/1,0.9913,0.9910
阿坝,2020/1/2,0.9839,0.9903
阿坝,2020/1/3,0.9878,0.9908
阿坝,2020/1/4,0.9897,0.9883
阿坝,2020/1/5,0.9925,0.9911
阿坝,2020/1/6,0.9874,0.9873
阿坝,2020/1/7,0.9862,0.9879
阿坝,2020/1/8,0.9877,0.9896
阿坝,2020/1/9,0.9860,0.9887
阿坝,2020/1/10,0.9876,0.9914
阿坝,2020/1/11,0.9928,0.9909
阿坝,2020/1/12,0.9907,0.9912
阿坝,2020/1/13,0.9902,0.9900
阿坝,2020/1/14,0.9871,0.9876
阿坝,2020/1/15,0.9868,0.9881
阿坝,2020/1/16,0.9935,0.9868
阿坝,2020/1/17,0.9868,0.9894
阿坝,2020/1/18,0.9887,0.9883
阿坝,2020/1/19,0.9895,0.9880
阿坝,2020/1/20,0.9895,0.9899
阿坝,2020/1/21,0.9864,0.9900
阿坝,2020/1/22,0.9900,0.9910
阿坝,2020/1/23,0.9898,0.9944
阿坝,2020/1/24,0.9912,0.9893
阿坝,2020/1/25,0.9889,0.9934
阿坝,2020/1/26,0.9950,0.9908
阿坝,2020/1/27,1.0261,0.9922
阿坝,2020/1/28,1.0956,0.9941
阿坝,2020/1/29,1.2604,0.9944
阿坝,2020/1/30,1.1869,1.1056
阿坝,2020/1/31,1.2469,1.1986
阿坝,2020/02/01,1.5325,1.6077
阿坝,2020/02/02,1.6065,1.5813
阿坝,2020/02/03,1.6074,1.6092
阿坝,2020/02/04,1.5533,1.8821
阿坝,2020/02/05,2.0775,2.0404
阿坝,2020/02/06,1.8131,2.4337
阿坝,2020/02/07,2.0343,2.2675
阿坝,2020/02/08,2.0746,2.1711
