city,lon,lat
攀枝花,116.413384,39.910925
自贡,116.413384,39.910925
德阳,116.413384,39.910925
广元,116.413384,39.910925
内江,116.413384,39.910925
成都,116.413384,39.910925
遂宁,116.413384,39.910925
宜宾,116.413384,39.910925
达州,116.413384,39.910925
雅安,116.413384,39.910925
巴中,116.413384,39.910925
眉山,116.413384,39.910925
南充,116.413384,39.910925
资阳,112.330435,28.597235
甘孜,99.99921,31.628957
绵阳,116.413384,39.910925
泸州,116.413384,39.910925
乐山,116.413384,39.910925
阿坝,101.71361,32.908221
凉山,116.413384,39.910925
广安,106.648531,30.479768
甘肃,116.413384,39.910925
陕西,125.155373,42.933308
青海,116.413384,39.910925
安徽,116.413384,39.910925
河北,116.413384,39.910925
吉林,116.413384,39.910925
河南,116.413384,39.910925
湖北,116.313047,39.984454
山西,116.413384,39.910925
四川,116.413384,39.910925
湖南,113.087559,28.251818
云南,116.413384,39.910925
福建,116.413384,39.910925
江西,115.95046,28.551604
广东,116.413384,39.910925
天津,117.209523,39.093668
黑龙江 ,116.413384,39.910925
新疆,87.416029,43.477086
内蒙古,116.413384,39.910925
海南,116.413384,39.910925
辽宁,116.413384,39.910925
宁夏,116.413384,39.910925
北京,116.413384,39.910925
上海,121.480539,31.235929
台湾,116.424679,39.916392
南京,116.413384,39.910925
重庆,116.413384,39.910925
香港,116.413384,39.910925
西藏,116.413384,39.910925
浙江,116.413384,39.910925
澳门,116.413384,39.910925
广西,116.413384,39.910925
山东,116.413384,39.910925
贵州,116.413384,39.910925
