市（州）,县（市、区）,机构名称,机构地址,联系电话,更新时间,,
成都市,高新区,成都市中西医结合医院,成都市武侯区万象北路18号,18011390091,49:16.0,,
成都市,高新区,成都高新博力医院,成都市高新区高朋东路1号,13330966739,49:16.0,,
成都市,高新区,成都高新普康医院,成都市高新区神仙树北路13号,13683469850,49:16.0,,
成都市,高新区,电子科技大学医院（清水河校区）,成都高新区（西区）西源大道2006号,13980999712,49:16.0,,
成都市,高新区,成都上锦南府医院,成都市高新区尚锦路253号,18980601415,49:16.0,,
成都市,天府新区,成都天府新区人民医院,成都市天府新区华阳街道正北上街 97号,028-61613132,49:16.0,,
成都市,天府新区,四川宝石花医院,成都市天府新区华阳街道通济巷26号,028-85608004,49:16.0,,
成都市,锦江区,四川省第四人民医院,成都市城守东大街57号,028-86718215,49:16.0,,
成都市,锦江区,成都市第二人民医院,成都市庆云南街10号,成都市草市街165号,028-67830201,49:16.0,
成都市,锦江区,成都市公共卫生临床中心,成都市锦江区静明路377号,028-64369509,49:16.0,,
成都市,锦江区,成都肛肠专科医院,成都市锦江区春熙路街道办事处太升南路大墙东街152号,028-86590595,49:16.0,,
成都市,锦江区,成都市锦江区妇幼保健院,成都市锦江区龙舟路街道办事处三官堂街 3号,028-65078536,49:16.0,,
成都市,锦江区,成都骨科医院,成都市锦江区水井坊街道办事处均隆街 66-68号,028-68125127,49:16.0,,
成都市,锦江区,成都市老年康疗院,成都市锦江区双桂路街道办事处,028-83339993转80024,49:16.0,,
成都市,锦江区,成都锦欣中医医院,成都市锦江区海椒市街6号,028-67695605,49:16.0,,
成都市,锦江区,成都锦江大观医院,成都市锦江区成龙路街道办事处合欢树街 489号,028-84468551,49:16.0,,
成都市,锦江区,成都东区医院,成都市锦江区成龙路街道办事处成都市经天路2号,19934316519,49:16.0,,
成都市,锦江区,成都锦欣沙河堡医院,成都市锦江区狮子山街道办事处佳宏路 29号,028-67695747,49:16.0,,
成都市,锦江区,四川电力医院,成都市锦江区水井坊街道办事处东风路 17号,18080433563,49:16.0,,
成都市,锦江区,西部战区空军医院,成都市锦江区九眼桥顺江路317号,028-67695473,49:16.0,,
成都市,锦江区,四川友谊医院,成都市锦江区上沙河铺街96号,028-69283262-8042,49:16.0,,
成都市,锦江区,四川锦欣妇女儿童医院,成都市锦江区静秀路66号,028-85953673,49:16.0,,
成都市,锦江区,成都锦欣妇产科医院,成都市锦江区盐市口街道办事处锦江区光华街35号,028-82333043,49:16.0,,
成都市,青羊区,四川省人民医院,成都市一环路西二段32号,028-87393460 028-87393425,49:16.0,,
成都市,青羊区,四川省第二中医医院,成都市青羊区四道街20号,028-68890120,49:16.0,,
成都市,青羊区,四川省第五人民医院,成都市青羊区商业街69号,028-86644166-8013,49:16.0,,
成都市,青羊区,成都市第三人民医院,成都市青羊区羊市街19号,028-86638387,49:16.0,,
成都市,青羊区,成都市妇女儿童中心医院,成都市青羊区日月大道一段1617号、太升南路137号,028-61866000-6223,49:16.0,,
成都市,青羊区,成飞医院,成都市青羊区黄田坝经一路105号,028-87455120,49:16.0,,
成都市,青羊区,成都金沙医院,成都市青羊区青羊大道201-205号,028-66533881,15928110433,49:16.0,
成都市,青羊区,满地可医院,成都市青羊区贝森南路66号,028-81707106,18161294432,49:16.0,
成都市,金牛区,成都中医药大学附属医院,成都市金牛区十二桥39--41号,028-87766237,49:16.0,,
成都市,金牛区,西部战区总医院,蓉都大道天回路270号,028-86570216,49:16.0,,
成都市,金牛区,成都市第四人民医院,成都市金牛区营门口互利西一巷8号,028-87528604,49:16.0,,
成都市,金牛区,成都市第八人民医院,成都市金牛区蓉都大道1120号,028-68705010,49:16.0,,
