主城市,迁出城市,迁出省份,比例,日期
成都,德阳市,四川省,10.59,2020-02-01
成都,眉山市,四川省,10.2,2020-02-01
成都,资阳市,四川省,7.7,2020-02-01
成都,绵阳市,四川省,5.39,2020-02-01
成都,南充市,四川省,4.98,2020-02-01
成都,重庆市,重庆市,4.67,2020-02-01
成都,内江市,四川省,3.96,2020-02-01
成都,遂宁市,四川省,3.55,2020-02-01
成都,乐山市,四川省,3.54,2020-02-01
成都,达州市,四川省,2.93,2020-02-01
成都,雅安市,四川省,2.73,2020-02-01
成都,宜宾市,四川省,2.71,2020-02-01
成都,广元市,四川省,2.3,2020-02-01
成都,阿坝藏族羌族自治州,四川省,2.28,2020-02-01
成都,自贡市,四川省,2.21,2020-02-01
成都,凉山彝族自治州,四川省,2.13,2020-02-01
成都,巴中市,四川省,2.04,2020-02-01
成都,泸州市,四川省,1.64,2020-02-01
成都,北京市,北京市,1.59,2020-02-01
成都,甘孜藏族自治州,四川省,1.25,2020-02-01
成都,广安市,四川省,1.21,2020-02-01
成都,上海市,上海市,1.18,2020-02-01
成都,拉萨市,西藏自治区,1.04,2020-02-01
成都,深圳市,广东省,0.96,2020-02-01
成都,攀枝花市,四川省,0.91,2020-02-01
成都,广州市,广东省,0.74,2020-02-01
成都,西宁市,青海省,0.64,2020-02-01
成都,昆明市,云南省,0.62,2020-02-01
成都,东莞市,广东省,0.56,2020-02-01
成都,贵阳市,贵州省,0.52,2020-02-01
成都,西安市,陕西省,0.46,2020-02-01
成都,杭州市,浙江省,0.34,2020-02-01
成都,兰州市,甘肃省,0.33,2020-02-01
成都,乌鲁木齐市,新疆维吾尔自治区,0.32,2020-02-01
成都,天津市,天津市,0.27,2020-02-01
成都,昭通市,云南省,0.26,2020-02-01
成都,苏州市,江苏省,0.24,2020-02-01
成都,南京市,江苏省,0.23,2020-02-01
成都,陇南市,甘肃省,0.22,2020-02-01
成都,佛山市,广东省,0.2,2020-02-01
成都,遵义市,贵州省,0.2,2020-02-01
成都,汉中市,陕西省,0.2,2020-02-01
成都,宁波市,浙江省,0.2,2020-02-01
成都,长沙市,湖南省,0.19,2020-02-01
成都,无锡市,江苏省,0.17,2020-02-01
成都,南宁市,广西壮族自治区,0.17,2020-02-01
成都,厦门市,福建省,0.16,2020-02-01
成都,福州市,福建省,0.16,2020-02-01
成都,昌都市,西藏自治区,0.16,2020-02-01
成都,常州市,江苏省,0.15,2020-02-01
成都,太原市,山西省,0.14,2020-02-01
成都,毕节市,贵州省,0.13,2020-02-01
成都,黔南布依族苗族自治州,贵州省,0.12,2020-02-01
成都,海西蒙古族藏族自治州,青海省,0.12,2020-02-01
成都,惠州市,广东省,0.12,2020-02-01
成都,中山市,广东省,0.11,2020-02-01
成都,渭南市,陕西省,0.11,2020-02-01
成都,银川市,宁夏回族自治区,0.11,2020-02-01
成都,长春市,吉林省,0.11,2020-02-01
成都,沈阳市,辽宁省,0.11,2020-02-01
成都,三亚市,海南省,0.11,2020-02-01
成都,石家庄市,河北省,0.1,2020-02-01
成都,嘉兴市,浙江省,0.1,2020-02-01
成都,郑州市,河南省,0.1,2020-02-01
成都,林芝市,西藏自治区,0.09,2020-02-01
成都,珠海市,广东省,0.09,2020-02-01
成都,廊坊市,河北省,0.09,2020-02-01
成都,合肥市,安徽省,0.09,2020-02-01
成都,青岛市,山东省,0.09,2020-02-01
成都,酒泉市,甘肃省,0.09,2020-02-01
