主省份,迁入省份,比例,日期
四川省,重庆市,27.24,2020/1/1
四川省,广东省,11.37,2020/1/1
四川省,云南省,10.43,2020/1/1
四川省,贵州省,7.22,2020/1/1
四川省,陕西省,5.49,2020/1/1
四川省,浙江省,5.44,2020/1/1
四川省,江苏省,3.18,2020/1/1
四川省,福建省,2.86,2020/1/1
四川省,北京市,2.71,2020/1/1
四川省,上海市,2.22,2020/1/1
四川省,西藏自治区,2.11,2020/1/1
四川省,山东省,2.1,2020/1/1
四川省,甘肃省,1.98,2020/1/1
四川省,河南省,1.84,2020/1/1
四川省,湖北省,1.76,2020/1/1
四川省,河北省,1.63,2020/1/1
四川省,新疆维吾尔自治区,1.62,2020/1/1
四川省,广西壮族自治区,1.19,2020/1/1
四川省,山西省,1.06,2020/1/1
四川省,湖南省,1.02,2020/1/1
四川省,海南省,0.93,2020/1/1
四川省,安徽省,0.69,2020/1/1
四川省,天津市,0.69,2020/1/1
四川省,青海省,0.69,2020/1/1
四川省,江西省,0.59,2020/1/1
四川省,辽宁省,0.58,2020/1/1
四川省,黑龙江省,0.33,2020/1/1
四川省,内蒙古自治区,0.3,2020/1/1
四川省,宁夏回族自治区,0.27,2020/1/1
四川省,吉林省,0.25,2020/1/1
四川省,重庆市,19.04,2020/1/2
四川省,广东省,16,2020/1/2
四川省,浙江省,7.54,2020/1/2
四川省,云南省,6.71,2020/1/2
四川省,陕西省,5.51,2020/1/2
四川省,贵州省,4.81,2020/1/2
四川省,江苏省,4.31,2020/1/2
四川省,福建省,3.67,2020/1/2
四川省,北京市,3.2,2020/1/2
四川省,山东省,3.05,2020/1/2
四川省,上海市,2.77,2020/1/2
四川省,西藏自治区,2.4,2020/1/2
四川省,河南省,2.11,2020/1/2
四川省,新疆维吾尔自治区,2.1,2020/1/2
四川省,河北省,2.07,2020/1/2
四川省,湖北省,2.02,2020/1/2
四川省,甘肃省,1.85,2020/1/2
四川省,广西壮族自治区,1.35,2020/1/2
四川省,山西省,1.34,2020/1/2
四川省,湖南省,1.26,2020/1/2
四川省,海南省,1.08,2020/1/2
四川省,辽宁省,0.89,2020/1/2
四川省,天津市,0.85,2020/1/2
四川省,安徽省,0.85,2020/1/2
四川省,青海省,0.81,2020/1/2
四川省,江西省,0.76,2020/1/2
四川省,黑龙江省,0.48,2020/1/2
四川省,内蒙古自治区,0.41,2020/1/2
四川省,宁夏回族自治区,0.28,2020/1/2
四川省,吉林省,0.26,2020/1/2
四川省,重庆市,23.74,2020/1/3
四川省,广东省,13.48,2020/1/3
四川省,云南省,7.9,2020/1/3
四川省,贵州省,6.15,2020/1/3
四川省,陕西省,5.95,2020/1/3
四川省,浙江省,5.93,2020/1/3
四川省,江苏省,3.6,2020/1/3
四川省,福建省,3.16,2020/1/3
四川省,山东省,2.89,2020/1/3
四川省,北京市,2.79,2020/1/3
四川省,上海市,2.39,2020/1/3
四川省,西藏自治区,2.24,2020/1/3
四川省,河南省,2.05,2020/1/3
四川省,湖北省,2.01,2020/1/3
四川省,甘肃省,1.9,2020/1/3
四川省,河北省,1.76,2020/1/3
四川省,新疆维吾尔自治区,1.71,2020/1/3
四川省,山西省,1.31,2020/1/3
四川省,广西壮族自治区,1.26,2020/1/3
四川省,湖南省,1.15,2020/1/3
四川省,天津市,0.96,2020/1/3
四川省,海南省,0.94,2020/1/3
四川省,辽宁省,0.82,2020/1/3
四川省,江西省,0.81,2020/1/3
四川省,青海省,0.75,2020/1/3
四川省,安徽省,0.73,2020/1/3
四川省,黑龙江省,0.49,2020/1/3
四川省,内蒙古自治区,0.37,2020/1/3
四川省,吉林省,0.29,2020/1/3
四川省,宁夏回族自治区,0.28,2020/1/3
四川省,重庆市,22.29,2020/1/4
四川省,广东省,13.56,2020/1/4
四川省,云南省,8.76,2020/1/4
四川省,浙江省,6.38,2020/1/4
四川省,贵州省,6.19,2020/1/4
四川省,陕西省,5.71,2020/1/4
四川省,江苏省,3.85,2020/1/4
四川省,福建省,3.13,2020/1/4
四川省,山东省,2.93,2020/1/4
四川省,北京市,2.89,2020/1/4
四川省,上海市,2.45,2020/1/4
四川省,湖北省,2.27,2020/1/4
四川省,西藏自治区,2.07,2020/1/4
四川省,甘肃省,1.93,2020/1/4
四川省,河南省,1.89,2020/1/4
四川省,新疆维吾尔自治区,1.71,2020/1/4
四川省,河北省,1.68,2020/1/4
四川省,广西壮族自治区,1.27,2020/1/4
四川省,湖南省,1.24,2020/1/4
四川省,山西省,1.19,2020/1/4
四川省,天津市,0.93,2020/1/4
四川省,海南省,0.91,2020/1/4
四川省,江西省,0.87,2020/1/4
四川省,辽宁省,0.78,2020/1/4
四川省,安徽省,0.78,2020/1/4
四川省,青海省,0.71,2020/1/4
四川省,黑龙江省,0.5,2020/1/4
四川省,内蒙古自治区,0.34,2020/1/4
四川省,吉林省,0.29,2020/1/4
四川省,宁夏回族自治区,0.28,2020/1/4
四川省,重庆市,23.67,2020/1/5
四川省,广东省,14.46,2020/1/5
四川省,云南省,8.55,2020/1/5
四川省,浙江省,6.84,2020/1/5
四川省,贵州省,6.03,2020/1/5
四川省,陕西省,5.21,2020/1/5
四川省,江苏省,3.92,2020/1/5
四川省,福建省,3.32,2020/1/5
四川省,北京市,2.83,2020/1/5
四川省,山东省,2.63,2020/1/5
四川省,上海市,2.52,2020/1/5
四川省,湖北省,2.07,2020/1/5
四川省,西藏自治区,1.93,2020/1/5
四川省,新疆维吾尔自治区,1.73,2020/1/5
四川省,甘肃省,1.69,2020/1/5
四川省,河南省,1.68,2020/1/5
