主省份,迁出省份,比例,日期
四川省,重庆市,36.93,2020/1/1
四川省,云南省,14.3,2020/1/1
四川省,贵州省,9.26,2020/1/1
四川省,陕西省,5.65,2020/1/1
四川省,广东省,5.02,2020/1/1
四川省,甘肃省,2.61,2020/1/1
四川省,湖北省,2.39,2020/1/1
四川省,北京市,2.25,2020/1/1
四川省,河南省,2.12,2020/1/1
四川省,江苏省,1.76,2020/1/1
四川省,浙江省,1.69,2020/1/1
四川省,上海市,1.61,2020/1/1
四川省,山东省,1.37,2020/1/1
四川省,广西壮族自治区,1.25,2020/1/1
四川省,湖南省,1.23,2020/1/1
四川省,河北省,1.2,2020/1/1
四川省,海南省,1.14,2020/1/1
四川省,福建省,1.09,2020/1/1
四川省,山西省,0.88,2020/1/1
四川省,西藏自治区,0.86,2020/1/1
四川省,青海省,0.78,2020/1/1
四川省,安徽省,0.78,2020/1/1
四川省,新疆维吾尔自治区,0.74,2020/1/1
四川省,江西省,0.73,2020/1/1
四川省,辽宁省,0.55,2020/1/1
四川省,内蒙古自治区,0.33,2020/1/1
四川省,天津市,0.33,2020/1/1
四川省,黑龙江省,0.31,2020/1/1
四川省,吉林省,0.29,2020/1/1
四川省,宁夏回族自治区,0.24,2020/1/1
四川省,重庆市,31.63,2020/1/2
四川省,云南省,10.81,2020/1/2
四川省,贵州省,7.94,2020/1/2
四川省,广东省,6.54,2020/1/2
四川省,陕西省,5.65,2020/1/2
四川省,北京市,3.19,2020/1/2
四川省,湖北省,2.72,2020/1/2
四川省,河南省,2.66,2020/1/2
四川省,甘肃省,2.58,2020/1/2
四川省,浙江省,2.41,2020/1/2
四川省,江苏省,2.35,2020/1/2
四川省,上海市,1.8,2020/1/2
四川省,山东省,1.78,2020/1/2
四川省,湖南省,1.78,2020/1/2
四川省,海南省,1.75,2020/1/2
四川省,广西壮族自治区,1.68,2020/1/2
四川省,福建省,1.68,2020/1/2
四川省,河北省,1.58,2020/1/2
四川省,新疆维吾尔自治区,1.29,2020/1/2
四川省,山西省,1.15,2020/1/2
四川省,安徽省,1.08,2020/1/2
四川省,江西省,0.98,2020/1/2
四川省,西藏自治区,0.91,2020/1/2
四川省,青海省,0.88,2020/1/2
四川省,辽宁省,0.69,2020/1/2
四川省,黑龙江省,0.49,2020/1/2
四川省,内蒙古自治区,0.48,2020/1/2
四川省,天津市,0.45,2020/1/2
四川省,宁夏回族自治区,0.37,2020/1/2
四川省,吉林省,0.33,2020/1/2
四川省,重庆市,35.13,2020/1/3
四川省,云南省,12.36,2020/1/3
四川省,贵州省,8.1,2020/1/3
四川省,广东省,5.55,2020/1/3
四川省,陕西省,5.47,2020/1/3
四川省,北京市,2.65,2020/1/3
四川省,河南省,2.59,2020/1/3
四川省,甘肃省,2.56,2020/1/3
四川省,湖北省,2.45,2020/1/3
四川省,江苏省,2.19,2020/1/3
四川省,浙江省,1.92,2020/1/3
四川省,山东省,1.74,2020/1/3
四川省,上海市,1.57,2020/1/3
四川省,福建省,1.55,2020/1/3
四川省,湖南省,1.54,2020/1/3
四川省,海南省,1.4,2020/1/3
四川省,广西壮族自治区,1.39,2020/1/3
四川省,河北省,1.37,2020/1/3
四川省,安徽省,1.04,2020/1/3
四川省,山西省,1.03,2020/1/3
四川省,青海省,0.97,2020/1/3
四川省,新疆维吾尔自治区,0.96,2020/1/3
四川省,江西省,0.85,2020/1/3
四川省,西藏自治区,0.81,2020/1/3
四川省,辽宁省,0.56,2020/1/3
四川省,黑龙江省,0.46,2020/1/3
四川省,天津市,0.36,2020/1/3
四川省,内蒙古自治区,0.36,2020/1/3
四川省,吉林省,0.36,2020/1/3
四川省,宁夏回族自治区,0.35,2020/1/3
四川省,重庆市,32.74,2020/1/4
四川省,云南省,13.21,2020/1/4
四川省,贵州省,8.46,2020/1/4
四川省,广东省,5.46,2020/1/4
四川省,陕西省,5.22,2020/1/4
四川省,河南省,2.81,2020/1/4
四川省,甘肃省,2.58,2020/1/4
四川省,湖北省,2.52,2020/1/4
四川省,北京市,2.5,2020/1/4
四川省,江苏省,2.3,2020/1/4
四川省,浙江省,2.07,2020/1/4
四川省,山东省,1.85,2020/1/4
四川省,广西壮族自治区,1.6,2020/1/4
四川省,湖南省,1.59,2020/1/4
四川省,上海市,1.59,2020/1/4
四川省,河北省,1.55,2020/1/4
四川省,福建省,1.47,2020/1/4
四川省,海南省,1.35,2020/1/4
四川省,山西省,1.17,2020/1/4
四川省,安徽省,1.14,2020/1/4
四川省,新疆维吾尔自治区,1.06,2020/1/4
四川省,青海省,1.06,2020/1/4
四川省,江西省,0.98,2020/1/4
四川省,西藏自治区,0.83,2020/1/4
四川省,辽宁省,0.63,2020/1/4
四川省,黑龙江省,0.47,2020/1/4
四川省,天津市,0.41,2020/1/4
四川省,宁夏回族自治区,0.39,2020/1/4
四川省,内蒙古自治区,0.37,2020/1/4
四川省,吉林省,0.27,2020/1/4
四川省,重庆市,33.21,2020/1/5
四川省,云南省,12.6,2020/1/5
四川省,贵州省,8.8,2020/1/5
四川省,陕西省,5.48,2020/1/5
四川省,广东省,5.23,2020/1/5
四川省,北京市,3.06,2020/1/5
四川省,甘肃省,2.8,2020/1/5
四川省,河南省,2.65,2020/1/5
四川省,湖北省,2.51,2020/1/5
四川省,江苏省,2.23,2020/1/5
四川省,浙江省,2.07,2020/1/5
四川省,上海市,1.79,2020/1/5
四川省,山东省,1.68,2020/1/5
四川省,湖南省,1.63,2020/1/5
四川省,广西壮族自治区,1.43,2020/1/5
四川省,海南省,1.41,2020/1/5
四川省,河北省,1.38,2020/1/5
四川省,福建省,1.35,2020/1/5
四川省,安徽省,1.09,2020/1/5
四川省,江西省,0.99,2020/1/5
四川省,山西省,0.97,2020/1/5
