市（州）,定点级别,县（市、区）,机构名称,地址,联系电话,更新时间
省级,省级,/,四川大学华西医院,成都市武候区国学巷37号,028-85423712,37:53.0
省级,省级,/,四川省人民医院,成都市一环路西二段32号,028-87393545,37:53.0
省级,省级,/,西南医科大学附属医院,泸州市江阳区太平街25号,0830-3165201,37:53.0
省级,省级,/,川北医学院附属医院,南充市茂源南路1号,0817- 2262763,37:53.0
省级,省级,/,成都医学院第一附属医院,成都市新都区宝光大道278号,028-83016680 028-83010950,37:53.0
成都市,省/市级,高新区、锦江 区、金牛区、 武候区、成华 区、青羊区,成都市公共卫生临床医疗 中心,成都市锦江区靜明路377号,028-64369499,37:53.0
成都市,县级,新都区,成都医学院第一附属医院,成都市新都区宝光大道278号,028-83016680 028-83010950,37:53.0
成都市,县级,郫都区,成都市郫都区人民医院,成都市郫都区德源北路二段666号,028-87862243,37:53.0
成都市,县级,温江区,成都市温江区人民医院,温江区万春东路10号、61号,028-82718690,37:53.0
成都市,县级,龙泉驿区,成都市龙泉驿区第一人民 医院,龙泉驿区公园路二段166号,19180633370,37:53.0
成都市,县级,双流区,成都市双流区第一人民医 院,成都市双流区东升街道西北街 14U9 号,028-85774925,37:53.0
成都市,县级,青白江区,成都市青白江区人民医院,成都市者白江区凤凰东四路15号,028-83623966,37:53.0
成都市,县级,天府新区,成都天府新区人民医院,天府新区华阳街道正北上街97号,13980466176,37:53.0
成都市,县级,简阳市,筒阳市人民医院,简城街办医院路180号,028-27238170,37:53.0
成都市,县级,邛崃市,邛崃市医疗中心医院,成都市邛崃市临邛镇杏林路172号,13908067120,37:53.0
成都市,县级,彭州市,彭州市传染病医院,彭州市天彭镇金彭东路995号,13980503525,37:53.0
成都市,县级,崇州市,崇州市人民医院,崇州市崇阳街道永康东路318号,028-82270365,37:53.0
成都市,县级,都江堰市,都江堰市人民医院,都江堰市宝莲路622号,028-69590000,37:53.0
成都市,县级,蒲江县,蒲江县人民医院,蒲江县鶴山街道河西路18号,028-88522035,37:53.0
成都市,县级,金堂县,金堂县第一人民医院,成都市金堂县赵镇金广路886号,028-84932532,37:53.0
成都市,县级,新津县,新津县人民医院,新津县五津西路149号,028-82553034,37:53.0
成都市,县级,大邑县,大邑县人民医院,成都市大邑县晋原镇北街323号,028-88381209,37:53.0
自贡市,市级,自贡市,自贡市第一人民医院,自贡市尚义灏一支路42号,0813-2101650,37:53.0
自贡市,县级,贡井区,自贡市第三人民医院,自贡市贡井区筱溪街胜利巷156号,0813-3301376,37:53.0
自贡市,县级,自流井区,自流井区中医院,自贡市自流井区光大街20号,0813-8618120,37:53.0
自贡市,县级,大安区,大安区人民医院,白贡市大安区大安街周家冲路51号,18008135901,37:53.0
自贡市,县级,沿滩区,沿滩区人民医院,自贡市沿滩镇和平路85号,0813-3800120,37:53.0
自贡市,县级,荣县,荣县人民医院,自贡市荣县旭阳镇荣州大道二段 305号,0813-6289816,37:53.0
自贡市,县级,富順县,富顺县人民医院,自贡市富顺县吉祥路490号,18398701278,37:53.0
攀枝花市,市级,攀枝花市,舉枝花市第四人民医院,攀枝花市仁和区攀枝花大道南段 1685号,0812-2273620,37:53.0
攀枝花市,县级,东区,十九冶医院,舉技花市东区弄弄坪中路187号,0812-3113098,37:53.0
攀枝花市,县级,西区,舉枝花市第二人民医院,攀枝花市西区苏铁中路183号,13808141513,37:53.0
攀枝花市,县级,仁和区,仁和区人民医院,舉枝花市大道南段1203号,0812-5109208,37:53.0
攀枝花市,县级,盐边县,盐边县人民医院,盐边县桐子林镇西环北路117号,0812-8659707,37:53.0
攀枝花市,县级,米易县,米易县人民医院,米易县攀莲镇河熙北路39#,0812-6376304,37:53.0
泸州市,市级,泸州市,泸州市传染病医院,泸州市江阳区况场镇康庄街392号,17780309562,37:53.0
泸州市,县级,江阳区,泸州市人民医院 （江阳区人民医院）,泸州市江阳区酒谷大道二段316号,0830-2393247,37:53.0
泸州市,县级,龙马潭区,龙马潭区人民医院,龙马潭区石洞街道观音堡路2号,18113534330,37:53.0
泸州市,县级,纳溪区,纳溪区人民医院,纳溪区人民东路219号,0830-4257595,37:53.0
泸州市,县级,泸县,泸县人民医院,泸州市泸县龙脑大道628号,0830-8171258,37:53.0
泸州市,县级,合江县,合江县人民医院,泸州市合江县合江镇荔乡路546号,0830-5211403,37:53.0
泸州市,县级,叙永县,叙永县人民医院,叙永县叙永領宝珠街公园巷9号,0830-6253104,37:53.0
泸州市,县级,古蔺县,古蔺县人民医院,泸州市古蔺县古蔺镇东新街马厂 头1号,0830-7202524,37:53.0
德阳市,市级,旌阳区,德阳市人民医院,德阳市泰山北路一段173号,0838-2418888,37:53.0
德阳市,县级,罗江区,罗江区人民医院,罗江区万安南路286号,13981070055,37:53.0
德阳市,县级,广汉市,广汉市人民医院,广汉市雒城镇汉口路75号,13981035983,37:53.0
德阳市,县级,绵竹市,绵竹市人民医院,绵竹市南京大道一段268号,15183889120,37:53.0
德阳市,县级,什邡市,什邡市人民医院,什邡市安康路6号,0838-5991799,37:53.0
德阳市,县级,什邡市,什邡市马祖镇卫生院,什邡市马祖镇复兴村八组,17381017120,37:53.0
德阳市,县级,什邡市,什邡市皮肤病防治医院,什邡市马祖镇东岳村3组,0838-8520599,37:53.0
德阳市,县级,中江县,中江县人民医院,中江县凯江镇大北街96号,0838-7215200,37:53.0
绵阳市,市级,涪城区、游仙 区,四川绵阳四0四医院,绵阳市涪城区跃进路56号,13608116000,37:53.0
绵阳市,县级,安州区,安州区人民医院,安州区花荄镇启明星大道129号,13402394433,37:53.0
绵阳市,县级,江油市,江油市传染病医院,江油市含增镇场镇,0816-3461068,37:53.0
绵阳市,县级,三台县,三台县人民医院,三台县潼川镇解放下街139号,0816-5229477,37:53.0
绵阳市,县级,盐亭县,盐亭县人民医院,盐亭县云溪镇弥江路208号,0816-7227733,37:53.0
绵阳市,县级,梓潼县,梓潼县人民医院,梓潼县文昌镇金牛路中段200号,0816-8212147,37:53.0
绵阳市,县级,平武县,平武县人民医院,平武县龙安镇龙安路184号,13398492407,37:53.0
绵阳市,县级,北川羌族自治县,北川羌族自治县人民医院,北川羌族自治县永昌镇新川路4-6号,0816-4822480,37:53.0
广元市,市级,广元市,广元市第三人民医院,广元市利州区利州西路三段50号,0839-3450999,37:53.0
广元市,县级,苍溪县,苍溪县人民医院,广元市苍溪县兴贤街12号,0839-5223311,37:53.0
广元市,县级,旺苍县,旺苍县人民医院,广元市旺苍县东河镇新华街471号,18981205199,37:53.0
广元市,县级,剑阁县,剑阁县人民医院,广元市剑阁县普安镇城北路58号,0839-6620883,37:53.0
广元市,县级,青川县,青川县人民医院,广元市青川县乔庄镇平安路7号,13881275618,37:53.0
广元市,县级,利州区,利州区第一人民医院,广元市经开区下西利州西路二段 92号,0839-3450995,37:53.0
广元市,县级,昭化区,广元市昭化区人民医院,广元市昭化区元坝镇杏林街32号,0839-8722120,37:53.0
广元市,县级,朝天区,朝天区人民医院,广元市朝天区朝天镇明月大道2段 64号,13568369137,37:53.0
遂宁市,市级,遂宁市,遂宁市中心医院,遂宁市船山区德胜西路127号,18008258730,37:53.0
遂宁市,市级,遂宁市,遂宁市中医院,遂宁市天峰街73号,13882510120,37:53.0
遂宁市,市级,遂宁市,遂宁市第一人民医院,遂宁市船山区油房街22号,0825-2213856,37:53.0
遂宁市,县级,船山区,遂宁市第三人民医院,遂宁市遂中州路162号,15309067120,37:53.0
遂宁市,县级,安居区,安居区人民医院,遂宁市安居区梧桐南路140号,0825-8662120,37:53.0
遂宁市,县级,射洪市,射洪市人民医院,射洪时广寒路29号,0825-6621105,37:53.0
遂宁市,县级,蓬溪县,蓬溪县人民医院,蓬溪县普安大道6号,13568723203,37:53.0
遂宁市,县级,大英县,大英县人民医院,大英县蓬莱镇江南西路2号,13330642120,37:53.0
内江市,市级,内江市,内江市第一人民医院,内江市市中区交通路沱中巷31号 （老区〉内江市市中区汉安大道 西段1866号（新区）,18909053979 （新区〉 18990555822 （老区〉,37:53.0
内江市,市级,内江市,内江市第二人民医院,内江市东兴区新江路470号,8322383178,37:53.0
内江市,县级,市中区,内江市市中区人民医院,内江市市中区中央路64号,8322056999,37:53.0
内江市,县级,东兴区,东兴区人民医院,内江市东兴区东兴街道兴盛路709,13330693187,37:53.0
内江市,县级,隆昌市,隆昌市人民医院,隆昌市金鹅街道康复中路73号,13990522095,37:53.0
内江市,县级,资中县,资中县人民医院,资中县重龙镇迎宾路92号,8325950120,37:53.0
内江市,县级,威远县,威远县人民医院,威远县严陵镇五云路72号,8328222095,37:53.0
乐山市,市级,乐山市,乐山市人民医院,乐山市市中区白塔街238号,0833-2119306,37:53.0
乐山市,县级,金口河区,金口河区人民医院,乐山市金口河区滨河路4段109号,18981340321,37:53.0
乐山市,县级,沙湾区,沙湾区人民医院,沙湾区沙湾镇韩王路15号,0833-3441770,37:53.0
乐山市,县级,井研县,井研县人民医院,井研县研城镇天宫巷38号,0833-3712128,37:53.0
乐山市,县级,马边彝族自治县,马边彝族自治县人民医院,马边舞族自治县民建镇西城村5组,17711272397,37:53.0
乐山市,县级,夹江县,夹江县人民医院,夹江县漹城镇迎春西路201号,0833-5661332,37:53.0
乐山市,县级,犍为县,犍为县人民医院,犍为县玉津镇津华大道1179号,0833-4221445,37:53.0
乐山市,县级,峨边县,峨边彝族自治县人民医院,峨边彝族自治县沙坪镇大坪路89号,13350722803,37:53.0
乐山市,县级,峨眉山市,峨眉山市人民医院,峨眉山市绥山镇三台山五街2号,0833-5522725,37:53.0
乐山市,县级,沐川县,沐川县人民医院,沐川县沐溪镇城北路500号,18990606698,37:53.0
乐山市,县级,五通桥区,五通桥区人民医院,竹根镇佑君街北段72号,0833-3351418,37:53.0
乐山市,县级,乐山市市中区,乐山市市中区人民医院,新村街69号,0833-2130168,37:53.0
南充市,市级,南充市,南充市中心医院,南充市顺庆区人民南路97号,0817-2223247,37:53.0
南充市,县级,营山县,营山县人民医院,营山县大南街100号,0817-8221764,37:53.0
南充市,县级,阆中市,阆中市人民医院,阆中市张飞南路17号,0817-6227207,37:53.0
南充市,县级,高坪区,高坪区人民医院,高坪区江东中路七段八角街,0817-3362777,37:53.0
南充市,县级,西充县,西充县人民医院,西充县园林路一段与安汉大道二 道交叉口西50米,0817-4222142,37:53.0
南充市,县级,顺庆区,顺庆区人民医院,顺庆区仪凤街148号,0817-2222103,37:53.0
南充市,县级,蓬安县,蓬安县人民医院,蓬安县安汉大道北段,0817-8622345,37:53.0
南充市,县级,仪陇县,仪陇县人民医院,仪陇县新政镇新南路南二段2号,0817-7216082,37:53.0
南充市,县级,南部县,南部县人民医院,南部县嘉陵路158号附近,0817-5522872,37:53.0
